ALPHA_3_CODE,IsscaapGrp_mapping,Name_En,Scientific_Name,Name_Cn,Troph,Troph.SE,SL.max,DATA.SOURCE,FOOD.ITEM
HAX,37,,Hemiramphus spp,,3.06,0.24,31,FishBase_ISSCAAP,Pelagic fish
HBN,42,Southwest Atlantic red crab,Chaceon notialis,,2.85,NA,NA,SeaAroundUs,Crustaceans
HBS,12,,Hemibates stenosoma,,3.46,0.43,24.6,FishBase_ISSCAAP,Freshwater fish
HBU,13,Loweye catfishes nei,Hypophthalmus spp,,2.91,NA,NA,FishBase,Freshwater fish
HBZ,42,Hair crab,Erimacrus isenbeckii,绒毛长蟹,2.5,NA,NA,FishBase_ISSCAAP,Crustaceans
HCF,13,Elongate tigerfish,Hydrocynus forskahlii,,3.98,0.48,78,FishBase_ISSCAAP,Freshwater fish
HCG,35,Scaled herring,Harengula jaguana,,3.42,NA,NA,SeaAroundUs,Pelagic fish
HCJ,56,Japanese hard clam,Meretrix lusoria,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
HCL,56,Imperial surf clam,Pseudocardium sybillae,帝王拟心蛤,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
HCT,35,Pacific flatiron herring,Harengula thrissina,太平洋青鳞鱼,3.1,0.3,12.5,FishBase_ISSCAAP,Pelagic fish
HCV,13,Tiger fish,Hydrocynus vittatus,,4.41,NA,NA,FishBase,Freshwater fish
HCX,56,Hard clams nei,Meretrix spp,,2.1,0.13,NA,FishBase_ISSCAAP,"Molluscs, other"
HCZ,33,Squirrelfishes nei,Holocentridae,,3.68,0.07,20.145,FishBase_ISSCAAP,Demersal fish
HDW,34,Pemarco blackfish,Schedophilus pemarco,大眼高体鲳,3.96,0.28,41,FishBase_ISSCAAP,Demersal fish
HED,13,Kafue pike,Hepsetus odoe,,4.5,0.8,56.7,FishBase_ISSCAAP,Freshwater fish
HEI,38,Atlantic weasel shark,Paragaleus pectoralis,大西洋副沙条鲨,4.32,0.64,113.95,FishBase_ISSCAAP,Demersal fish
HEL,13,Sampa,Heterobranchus longifilis,长丝异鳃鲶,3.72,0.66,150,FishBase_ISSCAAP,Freshwater fish
HEP,35,Pacific herring,Clupea pallasii,,3.15,0.36,39.1,FishBase_ISSCAAP,Pelagic fish
HER,35,Atlantic herring,Clupea harengus,,3.23,0.39,45,FishBase_ISSCAAP,Pelagic fish
HES,35,Bluestripe herring,Herklotsichthys quadrimaculat.,,3.57,0.54,25,FishBase_ISSCAAP,Pelagic fish
HFB,42,Golden deepsea crab,Chaceon fenneri,,3.02,NA,NA,SeaAroundUs,Crustaceans
HFC,76,Sandfish,Holothuria scabra,糙海参,2,NA,NA,SeaAroundUs,"Aquatic animals, other"
HFF,76,White teatfish,Holothuria fuscogilva,,2,NA,NA,SeaAroundUs,"Aquatic animals, other"
HFN,76,Black teatfish,Holothuria nobilis,黑乳海参,2,NA,NA,SeaAroundUs,"Aquatic animals, other"
HIL,24,Hilsa shad,Tenualosa ilisha,,2.04,0.05,60,FishBase_ISSCAAP,Pelagic fish
HIX,24,Kelee shad,Hilsa kelee,,3.25,0.48,28.1,FishBase_ISSCAAP,Pelagic fish
HIY,13,African butter catfish,Schilbe mystus,,3.45,NA,NA,SeaAroundUs,Freshwater fish
HJB,12,Jewelfish,Hemichromis bimaculatus,双斑伴丽鱼,3.93,NA,NA,FishBase,Freshwater fish
HJD,45,Chilean knife shrimp,Haliporoides diomedeae,智利拟对虾,2.6,NA,NA,SeaAroundUs,Crustaceans
HJF,12,Banded jewelfish,Hemichromis fasciatus,条纹伴丽鱼,3.18,0.49,20.4,FishBase_ISSCAAP,Freshwater fish
HJH,33,Candelamoa parrotfish,Hipposcarus harid,,2,NA,NA,FishBase,Demersal fish
HKB,32,Benguela hake,Merluccius polli,,4.5,0.63,71.68,FishBase_ISSCAAP,Demersal fish
HKC,32,Cape hakes,"Merluccius capensis, M.paradoxus",,4.29,0.08,84,FishBase_ISSCAAP,Demersal fish
HKE,32,European hake,Merluccius merluccius,,4.42,0.78,129.62,FishBase_ISSCAAP,Demersal fish
HKK,32,Shallow-water Cape hake,Merluccius capensis,,4.45,0.78,125.97,FishBase_ISSCAAP,Demersal fish
HKM,32,Senegalese hake,Merluccius senegalensis,,4.5,0.8,73.06,FishBase_ISSCAAP,Demersal fish
HKN,32,Southern hake,Merluccius australis,,4.45,0.79,155,FishBase_ISSCAAP,Demersal fish
HKO,32,Deep-water Cape hake,Merluccius paradoxus,,4.91,NA,NA,SeaAroundUs,Demersal fish
HKP,32,Argentine hake,Merluccius hubbsi,,4.23,0.67,86.35,FishBase_ISSCAAP,Demersal fish
HKR,32,Red hake,Urophycis chuss,,3.64,0.53,57.35,FishBase_ISSCAAP,Demersal fish
HKS,32,Silver hake,Merluccius bilinearis,,4.26,0.72,71.89,FishBase_ISSCAAP,Demersal fish
HKU,32,Brazilian codling,Urophycis brasiliensis,,3.79,0.6,35.12,FishBase_ISSCAAP,Demersal fish
HKW,32,White hake,Urophycis tenuis,,4.2,0.72,114.51,FishBase_ISSCAAP,Demersal fish
HKX,32,Hakes nei,Merluccius spp,,4.29,0.08,74,FishBase_ISSCAAP,Demersal fish
HLG,33,Mexican barred snapper,Hoplopagrus guentherii,,3.68,0.53,75.44,FishBase_ISSCAAP,Demersal fish
HLI,33,White grunt,Haemulon plumierii,,3.6,0.48,43.46,FishBase_ISSCAAP,Demersal fish
HLL,33,Tomtate grunt,Haemulon aurolineatum,,4.35,NA,NA,SeaAroundUs,Demersal fish
HLO,33,Black grunt,Haemulon bonariense,,3.54,NA,NA,SeaAroundUs,Demersal fish
HMC,37,Cape horse mackerel,Trachurus capensis,,3.47,0.5,54.61,FishBase_ISSCAAP,Pelagic fish
HMG,37,Greenback horse mackerel,Trachurus declivis,,3.93,0.61,64,FishBase_ISSCAAP,Pelagic fish
HML,11,Hampala barb,Hampala macrolepidota,,4.23,0.75,70,FishBase_ISSCAAP,Freshwater fish
HMM,37,Mediterranean horse mackerel,Trachurus mediterraneus,,3.59,0.41,57.28,FishBase_ISSCAAP,Pelagic fish
HMY,37,False scad,Caranx rhonchus,,3.6,0.59,49.2,FishBase_ISSCAAP,Pelagic fish
HMZ,37,Cunene horse mackerel,Trachurus trecae,,3.49,0.38,32.41,FishBase_ISSCAAP,Pelagic fish
HNI,33,Burrito grunt,Anisotremus interruptus,,3.5,NA,NA,SeaAroundUs,Demersal fish
